Symbol,MCAP,PE,DIV,Name,Sector,Industry
IR,last-price,current-price,change-percent,24.19,59.02,0.04,"Ingersoll Rand Inc","TECHNOLOGY","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT"
IRM,last-price,current-price,change-percent,13.78,33.12,0.05,"Iron Mountain Incorporated","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
ITUB,last-price,current-price,change-percent,40.68,7.78,0.11,"Itau Unibanco Holding S.A.","FINANCE","STATE COMMERCIAL BANKS"
IVZ,last-price,current-price,change-percent,12.00,13.17,0.03,"Invesco Ltd","FINANCE","INVESTMENT ADVICE"
IX,last-price,current-price,change-percent,25.54,14.75,0.82,"ORIX Corporation","FINANCE","MISCELLANEOUS BUSINESS CREDIT INSTITUTION"
JNJ,last-price,current-price,change-percent,428.73,24.34,0.03,"Johnson & Johnson","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
JNPR,last-price,current-price,change-percent,10.33,70.57,0.03,"Juniper Networks Inc","TECHNOLOGY","COMPUTER COMMUNICATIONS EQUIPMENT"
JPM,last-price,current-price,change-percent,497.55,10.65,0.02,"JPMorgan Chase & Co","FINANCE","NATIONAL COMMERCIAL BANKS"
K,last-price,current-price,change-percent,21.47,16.28,0.04,"Kellogg Company","MANUFACTURING","GRAIN MILL PRODUCTS"
KB,last-price,current-price,change-percent,19.65,6.71,0.05,"KB Financial Group Inc","FINANCE","COMMERCIAL BANKS, NEC"
KEP,last-price,current-price,change-percent,12.72,7.37,0.06,"Korea Electric Power Corporation","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
KEY,last-price,current-price,change-percent,22.54,9.43,0.03,"KeyCorp","FINANCE","NATIONAL COMMERCIAL BANKS"
KHC,last-price,current-price,change-percent,45.94,20.18,0.04,"The Kraft Heinz Company","MANUFACTURING","CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
KIM,last-price,current-price,change-percent,14.33,10.25,0.03,"Kimco Realty Corporation","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
KMB,last-price,current-price,change-percent,44.63,16.57,0.03,"Kimberly-Clark Corporation","MANUFACTURING","CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)"
KMI,last-price,current-price,change-percent,41.15,27.95,0.06,"Kinder Morgan Inc","ENERGY & TRANSPORTATION","NATURAL GAS TRANSMISSION"
KO,last-price,current-price,change-percent,244.00,30.75,0.03,"The Coca-Cola Company","MANUFACTURING","BEVERAGES"
KOF,last-price,current-price,change-percent,11.33,17.62,0.93,"Coca-Cola FEMSA S.A.B. de C.V","MANUFACTURING","BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS"
LAMR,last-price,current-price,change-percent,12.17,32.59,0.02,"Lamar Advertising Company (REIT)","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
LFC,last-price,current-price,change-percent,107.46,5.21,0.07,"China Life Insurance Company Limited","FINANCE","LIFE INSURANCE"
LMT,last-price,current-price,change-percent,93.26,13.76,0.03,"Lockheed Martin Corporation","MANUFACTURING","GUIDED MISSILES & SPACE VEHICLES & PARTS"
LNC,last-price,current-price,change-percent,13.05,28.51,0.02,"Lincoln National Corporation","FINANCE","LIFE INSURANCE"
LNT,last-price,current-price,change-percent,13.85,21.83,0.03,"Alliant Energy Corporation","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
LSI,last-price,current-price,change-percent,10.74,61.59,0.02,"Life Storage Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
LYB,last-price,current-price,change-percent,30.89,16.90,0.05,"LyondellBasell Industries N.V","LIFE SCIENCES","INDUSTRIAL ORGANIC CHEMICALS"
MAA,last-price,current-price,change-percent,23.35,54.41,0.02,"Mid-America Apartment Communities Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
MCD,last-price,current-price,change-percent,189.15,26.10,0.02,"McDonald's Corporation","TRADE & SERVICES","RETAIL-EATING PLACES"
MDLZ,last-price,current-price,change-percent,86.81,19.81,0.02,"Mondelez International Inc","MANUFACTURING","FOOD AND KINDRED PRODUCTS"
MET,last-price,current-price,change-percent,53.96,11.08,0.03,"MetLife Inc","FINANCE","LIFE INSURANCE"
MFC,last-price,current-price,change-percent,38.77,7.68,0.06,"Manulife Financial Corporation","FINANCE","LIFE INSURANCE"
MGA,last-price,current-price,change-percent,25.33,14.26,0.02,"Magna International Inc","MANUFACTURING","MOTOR VEHICLE PARTS & ACCESSORIES"
MMM,last-price,current-price,change-percent,103.60,17.78,0.03,"3M Company","LIFE SCIENCES","SURGICAL & MEDICAL INSTRUMENTS & APPARATUS"
MMP,last-price,current-price,change-percent,10.24,13.25,0.09,"Magellan Midstream Partners L.P","ENERGY & TRANSPORTATION","PIPE LINES (NO NATURAL GAS)"
MO,last-price,current-price,change-percent,82.21,12.07,0.08,"Altria Group Inc","MANUFACTURING","CIGARETTES"
MPC,last-price,current-price,change-percent,41.32,25.19,0.04,"Marathon Petroleum Corporation","ENERGY & TRANSPORTATION","PETROLEUM REFINING"
MPLX,last-price,current-price,change-percent,31.36,11.35,0.09,"MPLX LP","ENERGY & TRANSPORTATION","PIPE LINES (NO NATURAL GAS)"
MRK,last-price,current-price,change-percent,208.95,17.31,0.03,"Merck & Co. Inc","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
MS,last-price,current-price,change-percent,175.44,15.12,0.02,"Morgan Stanley","FINANCE","SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
MTB,last-price,current-price,change-percent,19.90,10.52,0.03,"M&T Bank Corporation","FINANCE","STATE COMMERCIAL BANKS"
MUFG,last-price,current-price,change-percent,72.13,6.22,0.04,"Mitsubishi UFJ Financial Group Inc","FINANCE","COMMERCIAL BANKS, NEC"
NEM,last-price,current-price,change-percent,46.39,18.05,0.04,"Newmont Corporation","ENERGY & TRANSPORTATION","GOLD AND SILVER ORES"
NLOK,last-price,current-price,change-percent,14.56,16.73,0.02,"NortonLifeLock Inc","TECHNOLOGY","SERVICES-PREPACKAGED SOFTWARE"
NLY,last-price,current-price,change-percent,12.50,4.45,0.10,"Annaly Capital Management Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
NTAP,last-price,current-price,change-percent,20.44,24.39,0.02,"NetApp Inc","TECHNOLOGY","COMPUTER STORAGE DEVICES"
NTR,last-price,current-price,change-percent,39.36,17.28,0.03,"Nutrien Ltd","LIFE SCIENCES","AGRICULTURAL CHEMICALS"
NTRS,last-price,current-price,change-percent,25.98,19.73,0.02,"Northern Trust Corporation","FINANCE","STATE COMMERCIAL BANKS"
NVO,last-price,current-price,change-percent,202.85,40.29,0.08,"Novo Nordisk A/S","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
NVS,last-price,current-price,change-percent,204.67,18.87,0.04,"Novartis AG","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
NWL,last-price,current-price,change-percent,10.35,17.26,0.04,"Newell Brands Inc","MANUFACTURING","PLASTICS PRODUCTS, NEC"
O,last-price,current-price,change-percent,40.25,51.54,0.04,"Realty Income Corporation","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
OKE,last-price,current-price,change-percent,28.93,25.79,0.06,"ONEOK Inc","ENERGY & TRANSPORTATION","NATURAL GAS TRANSMISISON & DISTRIBUTION"
